state,current_employees,separations_2025,separations_2024,change_pct,rifs,quits,impact_pct
DISTRICT OF COLUMBIA,103634,30356,12004,152.9,3775,12310,29.3
MARYLAND,78673,18654,5846,219.1,2590,4620,23.7
CALIFORNIA,78934,13122,8778,49.5,345,6195,16.6
TEXAS,74997,12343,6272,96.8,266,5979,16.5
GEORGIA,41303,8541,3493,144.5,610,3825,20.7
VIRGINIA,43877,8480,3869,119.2,545,3405,19.3
FLORIDA,56620,8194,4423,85.3,213,3854,14.5
NEW YORK,37035,7170,3861,85.7,190,3738,19.4
PENNSYLVANIA,37478,6308,2925,115.7,122,3331,16.8
COLORADO,24786,5596,3036,84.3,118,2945,22.6
MISSOURI,25895,5279,2645,99.6,55,2747,20.4
WASHINGTON,23305,4621,3032,52.4,142,2261,19.8
ILLINOIS,28285,4555,2329,95.6,177,2099,16.1
NORTH CAROLINA,27361,4183,2320,80.3,112,1993,15.3
TENNESSEE,23026,4105,2516,63.2,30,2400,17.8
ARIZONA,23603,4015,2965,35.4,31,1928,17
OHIO,26609,3790,2188,73.2,48,1784,14.2
UTAH,14688,3752,2003,87.3,17,2422,25.5
MASSACHUSETTS,16770,3231,1769,82.6,110,1480,19.3
OREGON,14878,3217,2650,21.4,52,1639,21.6
MICHIGAN,18374,2931,1718,70.6,53,1409,16
NEW MEXICO,14184,2808,1910,47,33,1463,19.8
OKLAHOMA,15064,2365,1184,99.7,243,1018,15.7
MINNESOTA,13961,2364,1328,78,45,1252,16.9
KENTUCKY,12450,2359,1237,90.7,16,1291,18.9
MONTANA,7546,2327,1851,25.7,37,1006,30.8
WISCONSIN,13641,2299,1333,72.5,25,1253,16.9
WEST VIRGINIA,13584,2066,975,111.9,25,946,15.2
ALABAMA,15654,2030,1162,74.7,23,947,13
IDAHO,7422,2003,1504,33.2,10,1056,27
INDIANA,11441,1971,1077,83,14,920,17.2
SOUTH CAROLINA,12851,1919,1146,67.5,58,937,14.9
NEW JERSEY,10873,1829,992,84.4,57,661,16.8
KANSAS,9601,1647,824,99.9,17,878,17.2
LOUISIANA,12234,1612,975,65.3,18,684,13.2
NEVADA,10145,1602,1144,40,19,831,15.8
MISSISSIPPI,9305,1450,768,88.8,12,636,15.6
IOWA,7250,1447,730,98.2,6,814,20
ALASKA,5207,1444,1006,43.5,9,688,27.7
ARKANSAS,9727,1375,815,68.7,24,631,14.1
WYOMING,4588,1294,1241,4.3,4,521,28.2
SOUTH DAKOTA,6730,1260,876,43.8,22,630,18.7
NEBRASKA,5544,1053,622,69.3,10,561,19
HAWAII,4923,855,543,57.5,18,376,17.4
MAINE,3477,800,429,86.5,22,394,23
CONNECTICUT,5009,706,379,86.3,11,300,14.1
NORTH DAKOTA,3650,646,459,40.7,3,355,17.7
NEW HAMPSHIRE,3724,608,302,101.3,16,276,16.3
VERMONT,2489,541,226,139.4,13,304,21.7
RHODE ISLAND,3053,509,266,91.4,7,248,16.7
DELAWARE,2256,404,186,117.2,12,177,17.9
